,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,7,3,13,5,12,15,8,11,40,13,7,13,15,13,0,13,6
2,7,0,9,6,9,6,11,5,6,42,6,0,8,12,9,8,10,7
3,3,9,0,13,7,12,17,13,12,41,13,9,17,16,17,8,14,6
4,13,6,13,0,10,8,11,11,1,43,0,6,13,11,13,9,8,8
5,5,9,7,10,0,12,16,14,12,38,12,9,16,16,18,7,14,2
6,12,6,12,8,12,0,9,6,7,44,6,6,7,11,8,13,7,13
7,15,11,17,11,16,9,0,8,9,50,7,11,6,2,7,15,4,15
8,8,5,13,11,14,6,8,0,11,47,10,6,6,10,6,8,11,11
9,11,6,12,1,12,7,9,11,0,44,2,7,11,10,12,10,7,9
10,40,42,41,43,38,44,50,47,44,0,45,42,49,49,49,43,47,41
11,13,6,13,0,12,6,7,10,2,45,0,6,13,11,13,9,8,8
12,7,0,9,6,9,6,11,6,7,42,6,0,8,12,9,8,10,7
13,13,8,17,13,16,7,6,6,11,49,13,8,0,7,0,15,9,17
14,15,12,16,11,16,11,2,10,10,49,11,12,7,0,8,16,4,15
15,13,9,17,13,18,8,7,6,12,49,13,9,0,8,0,15,8,17
16,0,8,8,9,7,13,15,8,10,43,9,8,15,16,15,0,13,5
17,13,10,14,8,14,7,4,11,7,47,8,10,9,4,8,13,0,15
18,6,7,6,8,2,13,15,11,9,41,8,7,17,15,17,5,15,0
