,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,0,133.2833333,101.65,116.0833333,90.71666667,86.1,64.78333333,90.86666667,88.91666667,128.95,139.9166667,49.71666667,0.066666667,3.9,32.51666667,2.15,2.033333333,5.633333333,3.85,1.3,8.716666667,1.65,0.816666667,0.816666667,0.883333333,4,36.8,53.58333333,36.8,92.21666667,92.26666667,60.1,132.4333333,90.65,92.21666667,91.01666667,91.6,104.55,3.9,90.16666667,104.2,89.81666667,90.1,92.21666667,101.3166667,118.2833333,63,100.9666667,111.45,100.5166667,101.1166667
2,133.5,0,42.4,25.16666667,73.83333333,110.5666667,70.1,50.9,52.41666667,99.35,80.66666667,86.81666667,133.5666667,130.2833333,158.3333333,134.6,134.4833333,137.35,131.7666667,133.6333333,141.1833333,133.95,132.85,132.8333333,132.7666667,135.0666667,164.1833333,179.5,164,220.2833333,220.3166667,188.15,260.5,218.7166667,220.2833333,219.0666667,219.6666667,232.6166667,130.2833333,218.2166667,232.2666667,217.8666667,218.1666667,220.2833333,229.1333333,246.1,190.8166667,228.7833333,239.2666667,228.3333333,228.9333333
3,101.6166667,40.95,0,23.75,41.96666667,78.68333333,38.23333333,19.03333333,20.53333333,67.48333333,39.98333333,54.95,101.6833333,98.41666667,126.45,102.7333333,102.6166667,105.4833333,99.9,101.7666667,109.3166667,102.0833333,100.9666667,100.9666667,100.9,103.2,132.3166667,147.6333333,132.1166667,188.4166667,188.45,156.2833333,228.6166667,186.85,188.4166667,187.2,187.8,200.75,98.41666667,186.35,200.4,186,186.3,188.4166667,197.2666667,214.2333333,158.9333333,196.9166667,207.4,196.4666667,197.0666667
4,115.9,23.48333333,24.81666667,0,56.25,92.96666667,52.5,33.3,34.81666667,81.76666667,63.08333333,69.21666667,115.9666667,112.7,140.7333333,117.0166667,116.9,119.75,114.1666667,116.05,123.5833333,116.3666667,115.25,115.2333333,115.1666667,117.4666667,146.6,161.9166667,146.4,202.6833333,202.7333333,170.5666667,242.9,201.1333333,202.6833333,201.4833333,202.0666667,215.0166667,112.7,200.6333333,214.6666667,200.2833333,200.5666667,202.6833333,211.5333333,228.5,173.2166667,211.2,221.6666667,210.75,211.3333333
5,90.33333333,73.05,41.41666667,55.85,0,38.06666667,26.93333333,29.45,27.15,60.65,79.68333333,43.65,90.4,87.13333333,115.1666667,91.45,91.33333333,94.18333333,88.6,90.48333333,98.01666667,90.8,89.68333333,89.66666667,89.6,91.9,121.0333333,136.35,120.8333333,177.1166667,177.1666667,145,217.3333333,175.5666667,177.1166667,175.9166667,176.5,189.45,87.13333333,175.0666667,189.1,174.7166667,175,177.1166667,185.9666667,202.9333333,147.65,185.6333333,196.1,185.1833333,185.7666667
6,85.76666667,109.75,78.11666667,92.56666667,38.08333333,0,45.11666667,65.06666667,64.01666667,42.93333333,94.41666667,39.48333333,85.83333333,82.56666667,103.5666667,86.88333333,86.76666667,89.61666667,84.03333333,85.91666667,93.45,86.23333333,85.11666667,85.1,85.03333333,87.33333333,116.4666667,125.9,116.2666667,172.55,172.6,140.4333333,212.7666667,171,172.55,171.35,171.9333333,184.8833333,82.56666667,170.5,184.5333333,170.15,170.4333333,172.55,181.4,198.3666667,143.0833333,181.0666667,191.5333333,180.6166667,181.2
7,64.4,69.5,37.86666667,52.3,26.91666667,45.13333333,0,27.06666667,25.13333333,76.4,76.13333333,17.71666667,64.46666667,61.2,89.23333333,65.51666667,65.4,68.25,62.66666667,64.55,72.08333333,64.86666667,63.75,63.73333333,63.66666667,65.96666667,95.1,110.4166667,94.9,151.1833333,151.2333333,119.0666667,191.4,149.6166667,151.1833333,149.9833333,150.5666667,163.5166667,61.2,149.1333333,163.1666667,148.7833333,149.0666667,151.1833333,160.0333333,177,121.7166667,159.7,170.1666667,159.25,159.8333333
8,90.48333333,50.96666667,19.33333333,33.76666667,29.21666667,64.3,27.08333333,0,4.7,53.1,57.6,43.8,90.55,87.28333333,115.3166667,91.6,91.48333333,94.33333333,88.75,90.63333333,98.16666667,90.95,89.83333333,89.81666667,89.75,92.05,121.1833333,136.5,120.9833333,177.2666667,177.3166667,145.15,217.4833333,175.7166667,177.2666667,176.0666667,176.65,189.6,87.28333333,175.2166667,189.25,174.8666667,175.15,177.2666667,186.1166667,203.0833333,147.8,185.7833333,196.25,185.3333333,185.9166667
9,88.4,52.58333333,20.95,35.38333333,27.13333333,63.65,25,4.85,0,52.45,59.21666667,41.71666667,88.46666667,85.2,113.2333333,89.51666667,89.4,92.25,86.66666667,88.53333333,96.08333333,88.86666667,87.75,87.73333333,87.66666667,89.96666667,119.0833333,134.4,118.9,175.1833333,175.2166667,143.05,215.4,173.6166667,175.1833333,173.9666667,174.5666667,187.5166667,85.2,173.1166667,187.1666667,172.7666667,173.0666667,175.1833333,184.0333333,201,145.7166667,183.6833333,194.1666667,183.2333333,183.8333333
10,128.6166667,98.4,66.76666667,81.2,60.58333333,42.91666667,77.56666667,53.71666667,53,0,64,82.33333333,128.6833333,125.4166667,114.0833333,129.7333333,129.6166667,132.4666667,126.8833333,128.7666667,136.3,129.0833333,127.9666667,127.95,127.8833333,130.1833333,158.5666667,136.4333333,158.55,214.3166667,214.35,182.2,254.5333333,212.7666667,214.3166667,213.1,213.7,226.65,125.4166667,212.2666667,226.3,211.9,212.2,214.3166667,200.6166667,217.5833333,162.3,200.2666667,210.75,199.8166667,200.4166667
11,139.8833333,79.21666667,40,62.01666667,80.23333333,94.28333333,76.5,57.3,58.8,63.98333333,0,93.21666667,139.95,136.6833333,164.7166667,141,140.8833333,143.75,138.1666667,140.0333333,147.5833333,140.35,139.2333333,139.2333333,139.1666667,141.4666667,170.5833333,185.9,170.3833333,226.6833333,226.7166667,194.55,266.8833333,225.1166667,226.6833333,225.4666667,226.0666667,239.0166667,136.6833333,224.6166667,238.6666667,224.2666667,224.5666667,226.6833333,235.5333333,252.5,197.2,235.1833333,245.6666667,234.7333333,235.3333333
12,49.31666667,86.25,54.61666667,69.05,43.66666667,39.48333333,17.75,43.81666667,41.86666667,82.33333333,92.88333333,0,49.38333333,46.11666667,74.15,50.43333333,50.31666667,53.18333333,47.6,49.46666667,57.01666667,49.78333333,48.66666667,48.66666667,48.6,50.9,80.01666667,95.33333333,79.81666667,136.1166667,136.15,103.9833333,176.3166667,134.55,136.1166667,134.9,135.5,148.45,46.11666667,134.05,148.1,133.7,134,136.1166667,144.9666667,161.9333333,106.6333333,144.6166667,155.1,144.1666667,144.7666667
13,0.066666667,133.35,101.7166667,116.15,90.78333333,86.16666667,64.85,90.93333333,88.98333333,129.0166667,139.9833333,49.78333333,0,3.966666667,32.58333333,2.216666667,2.1,5.7,3.916666667,1.233333333,8.783333333,1.583333333,0.883333333,0.883333333,0.95,3.933333333,36.86666667,53.65,36.86666667,92.28333333,92.33333333,60.16666667,132.5,90.71666667,92.28333333,91.08333333,91.66666667,104.6166667,3.966666667,90.23333333,104.2666667,89.88333333,90.16666667,92.28333333,101.3833333,118.35,63.06666667,101.0333333,111.5166667,100.5833333,101.1833333
14,3.916666667,129.7166667,98.08333333,112.5166667,87.13333333,82.53333333,61.21666667,87.28333333,85.35,125.3833333,136.35,46.15,3.983333333,0,34.83333333,4.966666667,4.85,8.45,6.583333333,5.116666667,11.53333333,5.066666667,4.116666667,3.366666667,3.316666667,7.383333333,39.61666667,56.4,39.61666667,95.03333333,95.08333333,62.91666667,135.25,93.48333333,95.03333333,93.83333333,94.41666667,107.3666667,0,92.98333333,107.0166667,92.63333333,92.91666667,95.03333333,104.1333333,121.1,65.81666667,103.7833333,114.2666667,103.3333333,103.9333333
15,32.51666667,157.3166667,125.6833333,140.1166667,114.7333333,103.5666667,88.81666667,114.8833333,112.95,114.1,163.95,73.75,32.58333333,34.6,0,33.63333333,33.51666667,36.66666667,30.83333333,32.66666667,40.2,32.98333333,31.86666667,31.85,31.8,34.13333333,44.55,22.43333333,44.55,100.3166667,100.35,68.18333333,140.5166667,98.75,100.3166667,99.1,99.7,112.65,34.6,98.25,112.3,97.9,98.2,100.3166667,86.61666667,103.5666667,48.28333333,86.26666667,96.73333333,85.81666667,86.4
