,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,1.3,8.716666667,1.65,0.816666667,0.816666667,0.883333333,4,36.8,3.9,90.16666667,104.2,89.81666667,90.1,101.3166667
2,1.3,0,9.35,1.25,1.8,2.016666667,2.083333333,3.216666667,37.43333333,5,90.8,104.8333333,90.45,90.73333333,101.95
3,8.666666667,9.316666667,0,8.483333333,9.216666667,8.683333333,8.65,8.866666667,28.08333333,11.51666667,81.45,95.48333333,81.1,81.38333333,92.6
4,1.65,1.233333333,8.55,0,2.15,2.166666667,2.133333333,2.733333333,36.63333333,5.016666667,90,104.0333333,89.65,89.93333333,101.15
5,0.816666667,1.8,9.25,2.15,0,0.733333333,0.783333333,4.466666667,37.33333333,4.016666667,90.7,104.7333333,90.33333333,90.63333333,101.85
6,0.816666667,2.016666667,8.716666667,2.25,0.75,0,0.066666667,4.566666667,36.8,3.35,90.16666667,104.2,89.81666667,90.1,101.3166667
7,0.883333333,2.083333333,8.716666667,2.25,0.8,0.066666667,0,4.566666667,36.8,3.283333333,90.16666667,104.2,89.81666667,90.1,101.3166667
8,4,3.216666667,8.883333333,2.733333333,4.466666667,4.483333333,4.45,0,36.65,7.316666667,90.33333333,104.3666667,89.98333333,90.26666667,101.4833333
9,36.73333333,37.38333333,28.06666667,36.55,37.28333333,36.75,36.71666667,35.76666667,0,39.58333333,65.7,79.75,65.35,65.65,70.46666667
10,3.916666667,5.116666667,11.53333333,5.066666667,4.116666667,3.366666667,3.316666667,7.383333333,39.61666667,0,92.98333333,107.0166667,92.63333333,92.91666667,104.1333333
11,90.11666667,90.75,81.45,89.93333333,90.65,90.13333333,90.1,90.31666667,65.7,92.96666667,0,15.15,0.783333333,0.55,61.55
12,104.1666667,104.8,95.5,103.9833333,104.7,104.1833333,104.15,104.3666667,79.75,107.0166667,15.15,0,15.45,14.81666667,75.15
13,89.76666667,90.41666667,81.1,89.58333333,90.31666667,89.78333333,89.75,89.96666667,65.35,92.61666667,0.766666667,15.46666667,0,1.316666667,61.85
14,90.01666667,90.65,81.35,89.83333333,90.55,90.03333333,90,90.21666667,65.6,92.86666667,0.583333333,14.81666667,1.3,0,61.13333333
15,101.25,101.9,92.58333333,101.0666667,101.8,101.2666667,101.2333333,101.45,70.46666667,104.1,61.56666667,75.15,62.21666667,61.15,0
