,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,0,133.2833333,101.65,116.0833333,90.71666667,90.86666667,88.91666667,128.95,49.71666667,0.066666667,3.9,2.15,2.033333333,3.85,1.3,8.716666667,1.65,0.816666667,0.816666667,0.883333333,4,36.8,36.8,92.21666667,92.26666667,90.65,92.21666667,91.01666667,91.6,104.55,3.9,90.16666667,104.2,89.81666667,90.1,92.21666667,101.3166667,100.9666667,111.45,100.5166667,101.1166667
2,133.5,0,42.4,25.16666667,73.83333333,50.9,52.41666667,99.35,86.81666667,133.5666667,130.2833333,134.6,134.4833333,131.7666667,133.6333333,141.1833333,133.95,132.85,132.8333333,132.7666667,135.0666667,164.1833333,164,220.2833333,220.3166667,218.7166667,220.2833333,219.0666667,219.6666667,232.6166667,130.2833333,218.2166667,232.2666667,217.8666667,218.1666667,220.2833333,229.1333333,228.7833333,239.2666667,228.3333333,228.9333333
3,101.6166667,40.95,0,23.75,41.96666667,19.03333333,20.53333333,67.48333333,54.95,101.6833333,98.41666667,102.7333333,102.6166667,99.9,101.7666667,109.3166667,102.0833333,100.9666667,100.9666667,100.9,103.2,132.3166667,132.1166667,188.4166667,188.45,186.85,188.4166667,187.2,187.8,200.75,98.41666667,186.35,200.4,186,186.3,188.4166667,197.2666667,196.9166667,207.4,196.4666667,197.0666667
4,115.9,23.48333333,24.81666667,0,56.25,33.3,34.81666667,81.76666667,69.21666667,115.9666667,112.7,117.0166667,116.9,114.1666667,116.05,123.5833333,116.3666667,115.25,115.2333333,115.1666667,117.4666667,146.6,146.4,202.6833333,202.7333333,201.1333333,202.6833333,201.4833333,202.0666667,215.0166667,112.7,200.6333333,214.6666667,200.2833333,200.5666667,202.6833333,211.5333333,211.2,221.6666667,210.75,211.3333333
5,90.33333333,73.05,41.41666667,55.85,0,29.45,27.15,60.65,43.65,90.4,87.13333333,91.45,91.33333333,88.6,90.48333333,98.01666667,90.8,89.68333333,89.66666667,89.6,91.9,121.0333333,120.8333333,177.1166667,177.1666667,175.5666667,177.1166667,175.9166667,176.5,189.45,87.13333333,175.0666667,189.1,174.7166667,175,177.1166667,185.9666667,185.6333333,196.1,185.1833333,185.7666667
6,90.48333333,50.96666667,19.33333333,33.76666667,29.21666667,0,4.7,53.1,43.8,90.55,87.28333333,91.6,91.48333333,88.75,90.63333333,98.16666667,90.95,89.83333333,89.81666667,89.75,92.05,121.1833333,120.9833333,177.2666667,177.3166667,175.7166667,177.2666667,176.0666667,176.65,189.6,87.28333333,175.2166667,189.25,174.8666667,175.15,177.2666667,186.1166667,185.7833333,196.25,185.3333333,185.9166667
7,88.4,52.58333333,20.95,35.38333333,27.13333333,4.85,0,52.45,41.71666667,88.46666667,85.2,89.51666667,89.4,86.66666667,88.53333333,96.08333333,88.86666667,87.75,87.73333333,87.66666667,89.96666667,119.0833333,118.9,175.1833333,175.2166667,173.6166667,175.1833333,173.9666667,174.5666667,187.5166667,85.2,173.1166667,187.1666667,172.7666667,173.0666667,175.1833333,184.0333333,183.6833333,194.1666667,183.2333333,183.8333333
8,128.6166667,98.4,66.76666667,81.2,60.58333333,53.71666667,53,0,82.33333333,128.6833333,125.4166667,129.7333333,129.6166667,126.8833333,128.7666667,136.3,129.0833333,127.9666667,127.95,127.8833333,130.1833333,158.5666667,158.55,214.3166667,214.35,212.7666667,214.3166667,213.1,213.7,226.65,125.4166667,212.2666667,226.3,211.9,212.2,214.3166667,200.6166667,200.2666667,210.75,199.8166667,200.4166667
9,49.31666667,86.25,54.61666667,69.05,43.66666667,43.81666667,41.86666667,82.33333333,0,49.38333333,46.11666667,50.43333333,50.31666667,47.6,49.46666667,57.01666667,49.78333333,48.66666667,48.66666667,48.6,50.9,80.01666667,79.81666667,136.1166667,136.15,134.55,136.1166667,134.9,135.5,148.45,46.11666667,134.05,148.1,133.7,134,136.1166667,144.9666667,144.6166667,155.1,144.1666667,144.7666667
10,0.066666667,133.35,101.7166667,116.15,90.78333333,90.93333333,88.98333333,129.0166667,49.78333333,0,3.966666667,2.216666667,2.1,3.916666667,1.233333333,8.783333333,1.583333333,0.883333333,0.883333333,0.95,3.933333333,36.86666667,36.86666667,92.28333333,92.33333333,90.71666667,92.28333333,91.08333333,91.66666667,104.6166667,3.966666667,90.23333333,104.2666667,89.88333333,90.16666667,92.28333333,101.3833333,101.0333333,111.5166667,100.5833333,101.1833333
11,3.916666667,129.7166667,98.08333333,112.5166667,87.13333333,87.28333333,85.35,125.3833333,46.15,3.983333333,0,4.966666667,4.85,6.583333333,5.116666667,11.53333333,5.066666667,4.116666667,3.366666667,3.316666667,7.383333333,39.61666667,39.61666667,95.03333333,95.08333333,93.48333333,95.03333333,93.83333333,94.41666667,107.3666667,0,92.98333333,107.0166667,92.63333333,92.91666667,95.03333333,104.1333333,103.7833333,114.2666667,103.3333333,103.9333333
12,2.016666667,134.2833333,102.65,117.0833333,91.7,91.85,89.91666667,129.95,50.71666667,2.066666667,4.883333333,0,0.116666667,5.283333333,2.666666667,7.633333333,1.7,2.566666667,2.05,2,3.866666667,35.71666667,35.71666667,91.13333333,91.18333333,89.58333333,91.13333333,89.93333333,90.51666667,103.4666667,4.883333333,89.08333333,103.1166667,88.73333333,89.01666667,91.13333333,100.2333333,99.88333333,110.3666667,99.43333333,100.0333333
13,1.9,134.1666667,102.5333333,116.9666667,91.58333333,91.73333333,89.8,129.8333333,50.6,1.95,4.766666667,0.116666667,0,5.166666667,2.55,7.683333333,1.583333333,2.45,1.933333333,1.883333333,3.75,35.76666667,35.76666667,91.18333333,91.21666667,89.61666667,91.18333333,89.96666667,90.56666667,103.5166667,4.766666667,89.11666667,103.1666667,88.76666667,89.06666667,91.18333333,100.2666667,99.93333333,110.4,99.48333333,100.0666667
14,2.55,132.5333333,100.9,115.3333333,89.96666667,90.11666667,88.16666667,128.2,48.96666667,2.616666667,6.083333333,4.4,4.283333333,0,2.033333333,10.98333333,2.916666667,2.883333333,3.083333333,3.15,3.3,37.53333333,37.35,93.63333333,93.66666667,92.06666667,93.63333333,92.41666667,93.01666667,105.9666667,6.083333333,91.56666667,105.6166667,91.21666667,91.51666667,93.63333333,102.4833333,102.1333333,112.6166667,101.6833333,102.2833333
15,1.3,134.3,102.6666667,117.1,91.71666667,91.86666667,89.93333333,129.9666667,50.73333333,1.233333333,5,2.783333333,2.666666667,3.316666667,0,9.35,1.25,1.8,2.016666667,2.083333333,3.216666667,37.43333333,37.43333333,92.85,92.9,91.3,92.85,91.65,92.23333333,105.1833333,5,90.8,104.8333333,90.45,90.73333333,92.85,101.95,101.6,112.0833333,101.15,101.75
16,8.666666667,140.9166667,109.2833333,123.7166667,98.35,98.5,96.55,136.5833333,57.35,8.716666667,11.51666667,7.466666667,7.35,11.93333333,9.316666667,0,8.483333333,9.216666667,8.683333333,8.65,8.866666667,28.08333333,28.08333333,83.5,83.55,81.93333333,83.5,82.3,82.88333333,95.83333333,11.51666667,81.45,95.48333333,81.1,81.38333333,83.5,92.6,92.25,102.7333333,91.8,92.4
17,1.65,134.4,102.7666667,117.2,91.83333333,91.98333333,90.03333333,130.0666667,50.83333333,1.583333333,5.016666667,1.716666667,1.6,4.2,1.233333333,8.55,0,2.15,2.166666667,2.133333333,2.733333333,36.63333333,36.63333333,92.05,92.1,90.48333333,92.05,90.85,91.43333333,104.3833333,5.016666667,90,104.0333333,89.65,89.93333333,92.05,101.15,100.8,111.2833333,100.35,100.95
