,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,57,7,14,28,42,12,7,14,55,58,13,53,36,32,52,25,13
2,57,0,62,66,74,18,56,53,67,30,6,67,98,58,72,92,42,67
3,7,62,0,14,32,49,16,13,7,61,64,6,55,37,35,56,31,6
4,14,66,14,0,23,50,19,17,12,63,66,12,49,32,35,55,32,12
5,28,74,32,23,0,59,25,30,27,72,75,27,32,39,47,68,41,27
6,42,18,49,50,59,0,40,37,51,31,25,51,82,40,56,77,27,51
7,12,56,16,19,25,40,0,12,15,56,59,14,52,35,32,53,26,14
8,7,53,13,17,30,37,12,0,16,52,55,15,55,38,29,50,22,15
9,14,67,7,12,27,51,15,16,0,64,67,4,54,35,36,57,34,4
10,55,30,61,63,72,31,56,52,64,0,26,64,89,37,69,89,49,64
11,58,6,64,66,75,25,59,55,67,26,0,67,99,57,72,93,49,67
12,13,67,6,12,27,51,14,15,4,64,67,0,52,34,37,58,35,0
13,53,98,55,49,32,82,52,55,54,89,99,52,0,55,72,93,66,51
14,36,58,37,32,39,40,35,38,35,37,57,34,55,0,56,76,51,34
15,32,72,35,35,47,56,32,29,36,69,72,37,72,56,0,28,39,38
16,52,92,56,55,68,77,53,50,57,89,93,58,93,76,28,0,60,59
17,25,42,31,32,41,27,26,22,34,49,49,35,66,51,39,60,0,34
18,13,67,6,12,27,51,14,15,4,64,67,0,51,34,38,59,34,0
