,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0,9.85,12.4,3.383333333,9.133333333,13.25,61.26666667,83.75,104.0833333,62.28333333,120.15,186.1666667,145.0666667,166.4666667,50.85,60.86666667,19.83333333,29.86666667,43.35,17.46666667,23.15,54.85,57.8,55.18333333,50.15,67.95,86.43333333,50.91666667,47.16666667,87.26666667,31.21666667,85.26666667,75.18333333,138.25,17.91666667,35.06666667
2,10.33333333,0,9.766666667,6.816666667,14.4,9.466666667,58.26666667,80.75,101.0833333,59.28333333,117.15,183.1666667,142.0666667,163.4666667,47.85,57.86666667,17.11666667,26.86666667,40.33333333,14.45,31.03333333,61.06666667,62.16666667,61.4,56.36666667,74.16666667,92.65,57.13333333,51.53333333,93.46666667,37.43333333,91.43333333,81.33333333,144.4166667,24.13333333,39.43333333
3,11.43333333,10.01666667,0,10.78333333,16.43333333,10.23333333,57.21666667,79.7,100.0333333,58.23333333,116.1,182.1166667,136.5833333,162.4166667,41.46666667,52.38333333,8.916666667,25.81666667,39.3,13.41666667,28.7,62.15,65.1,62.48333333,57.45,75.25,93.73333333,58.21666667,54.46666667,94.56666667,38.51666667,92.56666667,82.48333333,145.55,23.38333333,42.36666667
4,3.833333333,6.7,10.61666667,0,9.033333333,11.46666667,59.48333333,81.98333333,102.3,60.5,118.3666667,184.3833333,143.3,164.6833333,49.06666667,59.08333333,18.05,28.08333333,41.56666667,15.68333333,25.2,56.7,59.63333333,57.01666667,51.98333333,69.78333333,88.26666667,52.75,49,89.1,33.05,87.1,77.01666667,140.0833333,19.75,36.9
5,10.23333333,14.6,17.48333333,9.466666667,0,18.35,66.36666667,88.85,109.1833333,67.36666667,125.25,191.2666667,150.1666667,171.5666667,55.93333333,65.96666667,24.91666667,34.96666667,48.43333333,22.55,29,52.98333333,54.33333333,53.31666667,48.28333333,66.08333333,84.56666667,49.05,43.71666667,85.4,29.35,83.4,73.31666667,136.3666667,16.05,31.6
6,11.9,9.333333333,10.21666667,11.25,16.91666667,0,54.28333333,76.76666667,97.1,55.3,113.1666667,179.1833333,138.0833333,159.4833333,43.86666667,53.88333333,13.7,22.88333333,36.35,9.5,23.65,61.33333333,61.81666667,61.88333333,56.86666667,74.65,93.15,57.31666667,51.2,93.16666667,37.93333333,91.08333333,80.98333333,144.0666667,18.85,39.1
7,60.76666667,59.06666667,59.05,60.11666667,65.78333333,54.5,0,24.38333333,44.71666667,1.3,60.78333333,126.8,159.2166667,107.1,62.9,75.01666667,56.78333333,37.18333333,22.43333333,47.86666667,59.66666667,91.33333333,106.2333333,53.63333333,68.58333333,90.48333333,76.98333333,87.4,95.6,40.11666667,67.7,117.7666667,105.7166667,137.5333333,63.26666667,83.5
8,81.86666667,80.18333333,80.16666667,81.21666667,86.88333333,75.61666667,23.35,0,22.15,23.43333333,38.21666667,104.2333333,144.7333333,84.53333333,75.68333333,86.33333333,77.9,58.28333333,43.55,68.96666667,80.78333333,112.45,127.3333333,74.73333333,89.7,111.1333333,92.91666667,108.5,116.7,56.06666667,88.8,135.3666667,124.0833333,153.4833333,84.36666667,104.6
9,102.9833333,101.2833333,101.2666667,102.3333333,107.9833333,96.71666667,44.45,21.68333333,0,44.53333333,20.2,86.21666667,126.8833333,66.51666667,96.93333333,107.5833333,99,79.4,64.65,90.06666667,101.8833333,133.55,148.4333333,95.85,110.8,132.2333333,114.0166667,129.6166667,137.8166667,77.16666667,109.9166667,156.4666667,145.2,174.5833333,105.4666667,125.7166667
10,61.75,60.06666667,60.05,61.1,66.76666667,55.48333333,1.3,24.46666667,44.8,0,60.86666667,126.8833333,160.2166667,107.1833333,63.9,76.01666667,57.78333333,38.16666667,23.43333333,48.85,60.65,92.33333333,107.2166667,54.61666667,69.58333333,91.48333333,77.06666667,88.38333333,96.58333333,40.21666667,68.68333333,118.75,106.7,137.6333333,64.25,84.48333333
11,119.1333333,117.4333333,117.4166667,118.4666667,124.1333333,112.8666667,60.6,37.81666667,20.11666667,60.68333333,0,66.01666667,106.6833333,46.31666667,113.0833333,123.7333333,115.15,95.55,80.8,106.2166667,118.0333333,149.7,164.5833333,112,126.95,148.3833333,130.1666667,145.75,153.9666667,93.31666667,126.0666667,172.6166667,161.35,190.7333333,121.6166667,141.85
12,182.8333333,181.15,181.1333333,182.1833333,187.85,176.5666667,124.3166667,101.5333333,83.83333333,124.4,66,0,82.11666667,21.75,176.7833333,171.8166667,178.8666667,159.25,144.5166667,169.9333333,181.7333333,213.4166667,228.3,175.7,190.6666667,212.1,193.8833333,209.4666667,217.6666667,157.0333333,189.7666667,236.3333333,225.05,254.45,185.3333333,205.5666667
13,143.9666667,142.2666667,136.65,143.3166667,148.9833333,137.7,157.6333333,142.2833333,124.5666667,158.65,106.7333333,82.11666667,0,60.36666667,103.35,89.71666667,128.4666667,125.8666667,139.7166667,131.0666667,141.7166667,178.6666667,189.4333333,177.3666667,172.35,190.1333333,208.6333333,174.7166667,178.8,196.5166667,155.0166667,209.0666667,198.9833333,260.4333333,146.4666667,166.7
